name,schema,description
b_lvr_land_a.xml,schema-main.csv,臺中市不動產買賣
b_lvr_land_a_land.xml,schema-land.csv,臺中市土地不動產買賣
d_lvr_land_a.xml,schema-main.csv,臺南市不動產買賣
d_lvr_land_a_build.xml,schema-build.csv,臺南市建物不動產買賣
d_lvr_land_a_land.xml,schema-land.csv,臺南市土地不動產買賣
e_lvr_land_a.xml,schema-main.csv,高雄市不動產買賣
e_lvr_land_a_build.xml,schema-build.csv,高雄市建物不動產買賣
e_lvr_land_a_land.xml,schema-land.csv,高雄市土地不動產買賣
f_lvr_land_a.xml,schema-main.csv,新北市不動產買賣
f_lvr_land_a_build.xml,schema-build.csv,新北市建物不動產買賣
f_lvr_land_a_land.xml,schema-land.csv,新北市土地不動產買賣
h_lvr_land_a.xml,schema-main.csv,桃園市不動產買賣
h_lvr_land_a_build.xml,schema-build.csv,桃園市建物不動產買賣
h_lvr_land_a_land.xml,schema-land.csv,桃園市土地不動產買賣
h_lvr_land_a_park.xml,schema-park.csv,桃園市停車場不動產買賣
k_lvr_land_a.xml,schema-main.csv,苗栗縣不動產買賣
k_lvr_land_a_land.xml,schema-land.csv,苗栗縣土地不動產買賣
m_lvr_land_a.xml,schema-main.csv,南投縣不動產買賣
m_lvr_land_a_build.xml,schema-build.csv,南投縣建物不動產買賣
m_lvr_land_a_land.xml,schema-land.csv,南投縣土地不動產買賣
o_lvr_land_a.xml,schema-main.csv,新竹市不動產買賣
o_lvr_land_a_build.xml,schema-build.csv,新竹市建物不動產買賣
o_lvr_land_a_land.xml,schema-land.csv,新竹市土地不動產買賣
p_lvr_land_a.xml,schema-main.csv,雲林縣不動產買賣
p_lvr_land_a_build.xml,schema-build.csv,雲林縣建物不動產買賣
p_lvr_land_a_land.xml,schema-land.csv,雲林縣土地不動產買賣
p_lvr_land_a_park.xml,schema-park.csv,雲林縣停車場不動產買賣
v_lvr_land_a.xml,schema-main.csv,臺東縣不動產買賣
v_lvr_land_a_build.xml,schema-build.csv,臺東縣建物不動產買賣
v_lvr_land_a_land.xml,schema-land.csv,臺東縣土地不動產買賣
